factset_entity_id,vendor_id
072TTP-E, 57274350
0BKJL5-E, 49896568
09T8RF-E, 146885453
07XLZR-E, 179241298
07XJCD-E, 60999962
083QD0-E, 39957373
00299B-E, 178917981
05LHXM-E, 49865827
0BQHQX-E, 33330048
0C7PVX-E, 49215680
06TX5H-E, 47164479
093DDW-E, 19215188
0C6F6R-E, 19889383
0HDKJS-E, 155922578
001KCY-E, 142953031
05LJJ3-E, 156229199
07DM6Q-E, 54190435
09Y7H7-E, 156241409
07T7GF-E, 156279512
05ZTZT-E, 49760854
05PGSC-E, 27499488
07WB13-E, 51028785
05Z8P8-E, 142800510
06M1XP-E, 19884365
07QDQX-E, 22949661
063D12-E, 34203564
0DJCW9-E, 19883974
07536K-E, 49910749
09K6Z1-E, 63216139
0B1GNK-E, 156362168
073H0B-E, 156276809
06PJWN-E, 60715018
07V0V1-E, 49774554
07DKF2-E, 40850206
083Q4X-E, 49890184
094RD8-E, 156342731
07XMZ0-E, 156243010
0B1JX5-E, 22000401
0D4C0C-E, 51028785
09PGG5-E, 178917981
093LCH-E, 153411796
0D9V34-E, 32997646
07W0K2-E, 49809662
0G5MD2-E, 41601598
08TY1H-E, 298707546
06W2C3-E, 145758627
07ZNRL-E, 20326563
0F4PXQ-E, 27499488
09T8H6-E, 142831171
0B95BT-E, 22588754
05PKVQ-E, 298707546
07TMJJ-E, 156336906
06NDYY-E, 47474714
05LJ54-E, 142902320
064VT7-E, 49905136
006B76-E, 156347618
07VN1N-E, 139369926
05MX9C-E, 39577711
07XFBP-E, 49896568
087YYN-E, 156351820
0F8X4K-E, 26128003
07M7P1-E, 156335815
08HCB1-E, 298707546
07XDZX-E, 49809662
05L3DL-E, 142852455
0CVMTC-E, 48999772
07T86Z-E, 39178930
004S37-E, 51762394
0D2CDW-E, 142803824
05W85K-E, 139293414
0H25QM-E, 19886944
07THJC-E, 156355794
060HSY-E, 156352707
07R91N-E, 29275240
08WXFV-E, 197475313
0029BQ-E, 152044523
07KJRH-E, 142801829
07QSS9-E, 32406767
0C174R-E, 57288154
0DHWRM-E, 142953031
061825-E, 199629063
0DRXT3-E, 21716563
08TKYM-E, 24351173
09FDCW-E, 195351083
00953S-E, 19889383
086F76-E, 32406767
07V5GG-E, 34286209
0GSBDZ-E, 52032553
0G09QY-E, 156251392
09T644-E, 142832327
0BK4Q7-E, 142807041
07XGTJ-E, 31134041
05PLXM-E, 21066813
0DVYJ6-E, 51821297
07NYDV-E, 178917981
07TTC5-E, 156178498
07VC7Y-E, 61157941
07XJQG-E, 195331458
0832RG-E, 63217228
07VV53-E, 156358117
085QW9-E, 283828581
07V9NY-E, 21936528
093JP9-E, 21342413
0FT4B8-E, 49774698
07VBJG-E, 156366295
07VNQ6-E, 46121842
05PKFD-E, 153411796
07W3FV-E, 49809662
0F67QB-E, 27499488
09X8GB-E, 274980481
07T6T9-E, 26238042
097BJX-E, 36505113
06927C-E, 54033632
08V2TS-E, 138709536
0019PR-E, 56161960
0998HC-E, 56531571
085JKH-E, 178917981
0B4FT7-E, 56971176
0FN253-E, 55020173
07QSK8-E, 138958693
0DJ6DX-E, 156351832
083NFG-E, 156307042
0B89DL-E, 156221453
064QLS-E, 49873327
0678W5-E, 52989406
0BQZN5-E, 142874097
09T5PQ-E, 142922029
081655-E, 51832262
05PKVK-E, 298707546
07RNYS-E, 19889383
05PHBF-E, 156201801
0DX1ZW-E, 50552337
064WFN-E, 156201977
0CMFLB-E, 156342244
0DW5GF-E, 156179199
06ZBCQ-E, 156221453
09T8R3-E, 49812429
05PG7H-E, 49777192
08VR22-E, 139230422
07W3Z2-E, 178917981
05K3JF-E, 51957764
07XP8V-E, 320607039
06170W-E, 139710277
05NJM0-E, 139220520
0GL2NQ-E, 19883974
07L5DW-E, 26223059
083195-E, 60314479
07XD5R-E, 156245053
08G450-E, 21834201
067F8P-E, 134800121
0CGY1P-E, 19885323
07XK3W-E, 34007419
003Q18-E, 49890022
0DB1ZV-E, 142870182
0DG83N-E, 142852455
05PM2B-E, 18947538
09T78Z-E, 62570572
07XKR5-E, 27845181
06Q8S6-E, 275015941
0F5BD3-E, 27499488
086LN1-E, 47370157
07XFND-E, 33732306
0F95SB-E, 39957373
07R76S-E, 52884794
07R6V4-E, 27720475
07N5K0-E, 142817631
07VND4-E, 38615046
0G75KD-E, 19883902
0BF4TP-E, 146889240
07ZKYR-E, 19883974
0BNHDM-E, 21641337
0FB8RS-E, 19886230
09LKHD-E, 279187742
0DCWRC-E, 38579280
0C85RY-E, 24875607
083S97-E, 49910704
07V3QH-E, 156338362
081NJH-E, 277678281
07VV0J-E, 143104641
07VRFT-E, 57281259
07BH7S-E, 49910704
0DW32M-E, 53284074
06FRJB-E, 19889383
05LH29-E, 304234036
05PKC2-E, 173239482
0D975R-E, 145542721
0F4ZVJ-E, 46944334
07PBN1-E, 19679749
0G88R3-E, 156206158
0976HF-E, 49762235
06TQ58-E, 22947920
0BZ64V-E, 279398566
00DN4R-E, 24857175
003J1H-E, 174271379
0CW835-E, 61442541
095HFC-E, 175392323
09V0WZ-E, 145542721
0HD6CC-E, 49774554
05VYHY-E, 49910749
070CY6-E, 47222927
07NG85-E, 298707546
009CX6-E, 32406767
0809JD-E, 41197937
05Z9SW-E, 142953031
09FCYF-E, 49762235
077VJ0-E, 23862447
07XFCF-E, 47195325
08GT25-E, 22588754
072TV8-E, 39957373
0D27Z8-E, 21711873
064N6D-E, 156310445
0DHNH1-E, 325340558
05LHHH-E, 142858483
09T768-E, 146761257
0CV1KL-E, 49804845
00DQSL-E, 57343355
0DJ30Q-E, 279187742
0F2YCL-E, 63220147
07J3DV-E, 49849184
05LH1V-E, 156268267
0B15VL-E, 135832736
07W0X2-E, 156203321
07XF3N-E, 156334529
0C6JX8-E, 156273709
08J9R1-E, 41260275
0HP8P1-E, 56161054
083SRM-E, 39957373
0855GD-E, 146884271
0DP45N-E, 49763957
07QDL5-E, 156298777
09FZGB-E, 52140485
07XFW3-E, 156243010
087BX9-E, 55699101
0013MW-E, 142806882
0C6MMC-E, 156206877
0701C6-E, 53733759
07W96P-E, 57073625
0BB339-E, 156229824
0GQCJN-E, 19890128
09V12P-E, 142975303
07QT3T-E, 49809662
07XG3L-E, 156253092
080LYH-E, 142852455
0CJZ0K-E, 61210577
074L9M-E, 32406767
0DBYKS-E, 19889241
0HCKDY-E, 21834201
0F5VZK-E, 19215188
0722KT-E, 156244024
09T5H8-E, 146723671
0820W3-E, 156356550
08W337-E, 197475313
07RKVR-E, 250266004
07QDJT-E, 156351820
09FBR7-E, 27499488
07XDQ0-E, 49865555
06186S-E, 30904361
0GQCL0-E, 137381682
07XMB6-E, 156350805
089M3P-E, 19845723
0722NH-E, 50974982
06V52B-E, 56828235
06P83H-E, 63227121
05L3DC-E, 31224341
07RJVT-E, 19891282
0H1YGL-E, 19888201
05ZJ2J-E, 21711873
09T866-E, 142879219
096TMN-E, 21342413
07ZJCF-E, 143334291
0FY7HY-E, 142979607
0HJJBJ-E, 142867188
07W49T-E, 21622817
0B0FXL-E, 21755682
05TD4C-E, 146745853
0GQCFW-E, 156230366
0FDN2P-E, 142852455
08JG3C-E, 21342413
0088T8-E, 19889383
07LN5D-E, 142886254
00179Q-E, 156333442
07VRN5-E, 280294518
06Z1XC-E, 154065814
001S93-E, 142919289
064X18-E, 52154296
0FK34P-E, 138012590
0G0XFY-E, 49873103
0FMWBN-E, 36505113
05YNZQ-E, 156289118
07XK10-E, 156255950
07XFZJ-E, 49683126
006T5F-E, 19883974
05QSLD-E, 300167384
0DVN5S-E, 143001237
07XQZR-E, 33382862
07XHD5-E, 49679192
07PBB2-E, 52157472
07M4FB-E, 318516962
07QCMJ-E, 156350010
05PDL9-E, 21834201
088PGJ-E, 58064225
0GRV9G-E, 153411796
0CBRBK-E, 63227121
0F5LSX-E, 156196383
0DQTCB-E, 156348088
06SYK6-E, 50552613
083XPL-E, 46118734
0H52CL-E, 50974982
07TFN7-E, 48092363
07DK0X-E, 61116656
07QC2R-E, 32138624
083Y5R-E, 52370687
07XN7C-E, 55827434
064QR7-E, 156251392
099FD1-E, 49767516
05JBWY-E, 142919627
07V0S7-E, 156254413
00FHWN-E, 46776021
07VQL3-E, 49624312
09XFT2-E, 142895513
0723KC-E, 136785136
06FBNC-E, 33027024
05LHCC-E, 145276520
09WHL5-E, 33930668
093669-E, 153411796
05L3DR-E, 21629417
0DHMZY-E, 199675733
07T7X8-E, 40966544
08R2D9-E, 49764146
083W01-E, 22225554
0C7TV3-E, 46588165
0D0WC9-E, 39957373
09XBMS-E, 142904498
05LJ49-E, 146763262
064R24-E, 178951020
05PM20-E, 25811540
07R8TK-E, 156244018
05LHCV-E, 156222111
09T7X9-E, 142827628
07VKDH-E, 49727174
085GDV-E, 21801740
09XGB8-E, 142999030
0GWC86-E, 56828235
0DNN1S-E, 38490915
0D2438-E, 32956363
0CS0GV-E, 49865278
09FMTP-E, 153411796
0883Q8-E, 49921502
0F7XK5-E, 21342413
0833YM-E, 136317904
0GYR27-E, 156271894
07PBMT-E, 18889982
064R4X-E, 49910749
064QSX-E, 51028785
07R7FH-E, 142852455
0CGDPK-E, 156350805
06186D-E, 49773320
085Y0P-E, 178362321
0DJ3NJ-E, 49910617
0BC6K6-E, 279187742
07VSG7-E, 49863869
09WGSQ-E, 142821493
0DW5NN-E, 178565806
064NVG-E, 57288146
06X8S2-E, 142823827
0F2Y4H-E, 20483158
0886G3-E, 178917981
0BJD0F-E, 178917981
08WVTM-E, 156222111
